变量,重要性
烧结大烟道外排CO浓度_lag1,0.9144377865227743
14#风箱平均温度_lag5,0.006997570524324333
13#风箱平均温度,0.004232445462789781
14#风箱平均温度_lag20,0.004039577032619391
2#风箱负压_lag10,0.004022659394464625
18#风箱平均温度_lag20,0.004013322407306747
12#风箱平均温度,0.0025889860564523646
1#大烟道负压_lag5,0.002452422813176205
15#风箱平均温度,0.002368796128464474
9#风箱平均温度_lag20,0.002295690864865108
14#风箱平均温度,0.001951595374118979
12#风箱平均温度_lag10,0.001912768566775909
17#风箱平均温度_lag20,0.0017308790215783752
18#风箱平均温度,0.0013916305340192204
15#风箱平均温度_lag5,0.0011819095932762034
13#风箱平均温度_lag20,0.0011497200238759036
烧结大烟道外排CO浓度_lag10,0.0011364676844542328
12#风箱平均温度_lag5,0.001036305275017953
8#风箱平均温度_lag5,0.001018677052370237
16#风箱平均温度_lag5,0.0009686772189973319
4#风箱平均温度_lag20,0.0009526782308839305
7#风箱平均温度_lag5,0.0009469218205816288
12#风箱平均温度_lag20,0.0009361209306237824
1#大烟道温度_lag5,0.0009071816942223188
16#风箱平均温度_lag20,0.0008964176160775339
1#大烟道温度,0.0008752418898492078
1#大烟道负压_lag20,0.0008723903205507561
1#风箱负压_lag10,0.0007983432271667275
2#大烟道温度_lag10,0.0007544607441898017
17#风箱平均温度,0.0006889247987578902
13#风箱平均温度_lag5,0.0006676190897686641
16#风箱平均温度,0.0006578744249866372
7#风箱平均温度_lag10,0.0005774662922063032
7#风箱平均温度,0.0005675103875860401
18#风箱负压,0.0005639046841356979
1#风箱平均温度,0.0005632677489922863
1#大烟道温度_lag10,0.0005588808791312374
5#风箱平均温度,0.0005435040786782551
16#风箱负压_lag20,0.0005409285722722844
11#风箱平均温度_lag5,0.0005399359243652624
烧结大烟道外排CO浓度_lag5,0.0005349895415163787
18#风箱平均温度_lag5,0.0005268855369534794
17#风箱负压,0.0004988205247521804
2#大烟道温度,0.0004914967884507217
2#风箱平均温度_lag10,0.0004908379840353357
18#风箱平均温度_lag10,0.00048827196553179777
18#风箱负压_lag20,0.0004620928989360324
3#风箱负压,0.00045015298164599344
11#风箱平均温度_lag10,0.0004465577653505286
11#风箱平均温度,0.00044008391572198903
3#风箱平均温度_lag10,0.00043879809567948035
6#风箱平均温度_lag10,0.00042439271045379367
2#风箱负压_lag20,0.0004074779463826749
8#风箱负压_lag5,0.00039224728018080594
1#风箱负压_lag20,0.0003889977995479903
11#风箱平均温度_lag20,0.00038666918564187597
4#风箱平均温度_lag5,0.000384109140601287
18#风箱负压_lag5,0.000379817965464658
5#风箱平均温度_lag10,0.0003791777840497728
10#风箱平均温度,0.0003700488427491025
17#风箱负压_lag5,0.00036354657198015965
9#风箱平均温度,0.000362759267474979
17#风箱平均温度_lag10,0.0003559348083083174
2#风箱负压_lag5,0.00034432252651624265
8#风箱平均温度_lag20,0.00033875117413597483
14#风箱平均温度_lag10,0.00033306749749453796
17#风箱平均温度_lag5,0.00032955579138610025
2#大烟道温度_lag20,0.0003204154063729439
16#风箱负压_lag5,0.0003173068209830898
1#大烟道温度_lag20,0.000308896279427157
2#大烟道温度_lag5,0.00030588383981915526
7#风箱平均温度_lag20,0.00030270546214667033
15#风箱平均温度_lag10,0.000301097923076357
16#风箱平均温度_lag10,0.0002995859436566162
4#风箱负压,0.00029794463546687104
8#风箱平均温度,0.00028805978861955764
10#风箱平均温度_lag20,0.00028770912063672433
6#风箱平均温度_lag20,0.00028493236035875434
10#风箱平均温度_lag5,0.000273226425896607
14#风箱负压_lag5,0.00026837334246513993
6#风箱平均温度,0.0002648895090854169
15#风箱平均温度_lag20,0.00026478231195606035
1#风箱负压_lag5,0.000255328024593869
6#风箱平均温度_lag5,0.00024913969830534557
3#风箱平均温度_lag20,0.0002463246339872439
5#风箱负压,0.0002409053457516102
2#风箱平均温度,0.00023597406812460366
7#风箱负压_lag5,0.00022882973762485963
2#大烟道负压,0.00022589269016143045
5#风箱平均温度_lag20,0.00021049383283313302
8#风箱平均温度_lag10,0.00020607079341715065
1#风箱负压,0.0002011533285000911
2#风箱负压,0.00020036282086506547
13#风箱平均温度_lag10,0.00019918689885052083
18#风箱负压_lag10,0.00019376514913025273
15#风箱负压_lag5,0.00017743306608924048
4#风箱平均温度_lag10,0.0001727895027449016
9#风箱平均温度_lag5,0.00017145346402822891
2#大烟道负压_lag5,0.00016720522472016963
4#风箱平均温度,0.00016646223072442582
15#风箱负压,0.00016313003669095344
3#风箱平均温度,0.00016015266654050302
2#风箱平均温度_lag5,0.00015951886291600733
9#风箱平均温度_lag10,0.00015674261671950172
3#风箱负压_lag5,0.00015564770185252553
2#风箱平均温度_lag20,0.0001549832697274214
1#风箱平均温度_lag5,0.00015211581717563787
1#风箱平均温度_lag10,0.00015115239749087744
1#风箱平均温度_lag20,0.0001505959584392189
2#大烟道负压_lag20,0.00014801650066420156
16#风箱负压,0.000146806636432894
5#风箱平均温度_lag5,0.00014170922196777894
3#风箱负压_lag10,0.00013605032956839905
17#风箱负压_lag10,0.00013539446699832372
3#风箱负压_lag20,0.0001284911136148388
7#风箱负压_lag20,0.00012779294839056714
3#风箱平均温度_lag5,0.0001192820599181287
2#大烟道负压_lag10,0.00011699473467530807
14#风箱负压_lag10,0.00011693063900623187
5#风箱负压_lag5,0.00011183570770547808
10#风箱平均温度_lag10,0.00010883353673499477
1#大烟道负压_lag10,0.0001055372909358186
5#风箱负压_lag20,0.00010378240378565617
4#风箱负压_lag20,0.00010061642597301481
10#风箱负压,9.432572806013593e-05
16#风箱负压_lag10,8.99417440704912e-05
14#风箱负压,8.775898364086374e-05
4#风箱负压_lag5,8.690899542366465e-05
17#风箱负压_lag20,7.783525433925357e-05
9#风箱负压_lag10,7.311343195412692e-05
4#风箱负压_lag10,6.569932854635956e-05
1#大烟道负压,6.433950626294209e-05
6#风箱负压_lag10,6.431093118827586e-05
15#风箱负压_lag10,6.225200999286939e-05
5#风箱负压_lag10,5.7877658651890815e-05
烧结机机速L1设定_lag10,5.744256060142976e-05
10#风箱负压_lag5,5.6977016920931934e-05
12#风箱负压_lag20,5.543856520737958e-05
6#风箱负压_lag5,5.4310882595341206e-05
9#风箱负压_lag5,5.269312777683408e-05
6#风箱负压,5.093949594469518e-05
烧结机机速L1设定_lag5,5.0745528356014453e-05
8#风箱负压_lag20,4.995648150224484e-05
12#风箱负压_lag10,4.9542122088758734e-05
12#风箱负压_lag5,4.922506830717149e-05
8#风箱负压_lag10,4.866381649300655e-05
7#风箱负压,4.7676756218144794e-05
10#风箱负压_lag10,4.6103474670143356e-05
13#风箱负压_lag20,4.582203865446261e-05
13#风箱负压,4.569722105545665e-05
14#风箱负压_lag20,4.551983318131939e-05
11#风箱负压,4.5364261785819254e-05
15#风箱负压_lag20,4.522646063383854e-05
烧结机机速L1设定_lag20,4.208301216402315e-05
13#风箱负压_lag10,3.5395795393714294e-05
13#风箱负压_lag5,3.511768457894001e-05
11#风箱负压_lag10,3.380502616271151e-05
11#风箱负压_lag20,2.505939144031215e-05
6#风箱负压_lag20,2.418801931704745e-05
11#风箱负压_lag5,2.3229992356441694e-05
7#风箱负压_lag10,2.2543101539977274e-05
烧结机机速L1设定,2.0477868603672533e-05
9#风箱负压,1.974930841688529e-05
9#风箱负压_lag20,1.922948163179943e-05
12#风箱负压,1.53021808767367e-05
8#风箱负压,1.4969311700670153e-05
10#风箱负压_lag20,1.3123319659634494e-05
